,name,rating,user_ratings_total,business_status,types,fuzzy_score
59,Tiong Bahru Plaza,4.1,6594,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
60,The Poiz Centre,,,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",70
61,Thomson Plaza,4,1877,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
62,United Square Shopping Mall,4,4035,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",65
63,Velocity＠Novena Square,4.1,7587,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
64,Wheelock Place,4.1,2869,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
65,Wisma Atria,4.2,6408,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
66,Zhongshan Mall,4,2274,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
67,White Sands,4.1,5139,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
68,Downtown East,4.3,6831,OPERATIONAL,"['shopping_mall', 'tourist_attraction', 'point_of_interest', 'establishment']",100
69,Century Square,4.2,4662,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
70,Tampines 1,4.2,6696,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
71,Tampines Mall,4.3,11404,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
72,Our Tampines Hub,4.5,7612,OPERATIONAL,"['shopping_mall', 'local_government_office', 'point_of_interest', 'establishment']",100
73,Jewel Changi Airport,4.7,31315,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",82
74,Changi City Point,4.3,8627,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
75,Djitsun Mall Bedok,4,667,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
76,Eastpoint Mall,4,5804,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
77,Bedok Mall,4.2,11429,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
78,Bedok Point,4,2239,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
79,Paya Lebar Square,4.2,2703,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
80,SingPost Centre,4.2,5222,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",72
81,Paya Lebar Square,4.2,2703,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",82
82,KINEX,3.9,4104,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
83,Katong Shopping Centre,3.6,1377,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
84,Roxy Square 1,3.9,390,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",92
85,I12 Katong,3.9,3566,CLOSED_TEMPORARILY,"['shopping_mall', 'point_of_interest', 'establishment']",100
86,Parkway Parade,4.3,6756,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
87,City Plaza,3.8,2084,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
88,Katong Square,4,733,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
89,Katong V,4,1290,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
90,Kallang Wave Mall,4.2,7393,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
91,Leisure Park Kallang,3.9,2714,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
92,East Village,4,291,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
93,Elias Mall,3.8,1749,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
94,Loyang Point,4.1,1140,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
95,The Flow @ East Coast,2.9,23,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",59
96,Jewel Changi Airport,4.7,31316,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
97,888 Plaza,4.1,2215,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
98,Woodlands Mart,4.3,461,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",41
99,AMK Hub,4.1,11272,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
100,Canberra Plaza,3.9,287,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
101,Causeway Point,4.2,9727,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
102,Broadway Plaza,3.6,237,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
103,Djitsun Mall,3.5,950,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
104,Jubilee Square,3.6,1401,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
105,Junction Nine,3.9,855,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",70
106,Marsiling Mall,4.1,425,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
107,Northpoint City,4.3,11273,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
108,Sembawang Shopping Centre,4,4127,OPERATIONAL,"['shopping_mall', 'point_of_interest', 'establishment']",100
