,name,rating,user_ratings_total,price_level,business_status,types,fuzzy_score
75,Oriental Hair Solutions Tampines 1,3.7,44,,OPERATIONAL,"['hair_care', 'point_of_interest', 'establishment']",51
76,Block 87 HDB Bedok North Street 4,5,1,,OPERATIONAL,"['point_of_interest', 'establishment']",79
77,Hougang Sheng Hong Student Care Centre,5,1,,OPERATIONAL,"['point_of_interest', 'establishment']",54
78,Hougang Sheng Hong Student Care Centre,5,1,,OPERATIONAL,"['point_of_interest', 'establishment']",56
79,Singapore Pools (Jalan Batu Branch),4.5,19,,OPERATIONAL,"['point_of_interest', 'store', 'establishment']",47
80,Block 116 HDB Jln Bukit Merah,4.3,14,,OPERATIONAL,"['point_of_interest', 'establishment']",47
81,Bendemeer Secondary School,4.1,33,,OPERATIONAL,"['secondary_school', 'school', 'point_of_interest', 'establishment']",42
82,"Sony Centre, Clementi West",4,106,,OPERATIONAL,"['electronics_store', 'home_goods_store', 'point_of_interest', 'store', 'establishment']",47
83,YWCA Child Development Centre (McNair),4.5,2,,OPERATIONAL,"['point_of_interest', 'establishment']",41
84,Ramada Singapore by Wyndham Singapore at Zhongshan Park,4.3,2597,,OPERATIONAL,"['lodging', 'point_of_interest', 'establishment']",44
85,Golden Mile Food Centre,4.2,4619,1,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']",100
86,Peperoni Pizzeria (Zion Road),4.1,316,2,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']",53
87,Central 24-HR Clinic (Clementi),1.4,126,,OPERATIONAL,"['doctor', 'health', 'point_of_interest', 'establishment']",51
88,One Commonwealth,3.9,260,,OPERATIONAL,"['point_of_interest', 'establishment']",68
89,Yishun Park Hawker Centre,4,4499,1,OPERATIONAL,"['tourist_attraction', 'restaurant', 'food', 'point_of_interest', 'establishment']",100
90,SuperBowl Tampines,4.2,180,,OPERATIONAL,"['bowling_alley', 'point_of_interest', 'establishment']",71
91,Jian Ge Therapy Massage & Reflexology Centre,3,1,,OPERATIONAL,"['health', 'point_of_interest', 'establishment']",42
92,Copthorne King's Hotel Singapore on Havelock,4,2260,,OPERATIONAL,"['lodging', 'point_of_interest', 'establishment']",44
93,Holland Village Market & Food Centre,4,2131,1,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']",57
94,Châteraisé Kampung Admiralty,4.2,36,,OPERATIONAL,"['bakery', 'food', 'point_of_interest', 'store', 'establishment']",77
95,Village Hotel Changi,4.1,2485,,OPERATIONAL,"['lodging', 'point_of_interest', 'establishment']",61
96,Block 714 HDB Clementi West,4,1,,OPERATIONAL,"['point_of_interest', 'establishment']",70
